posx, posy, velx, vely, rot, lap, checkpoint, health, relposx, relposy, relvelx, relvely, relrot, enemyHealth, relCheckpointPosx, relCheckpointPosy, relCheckpointRot, gas, rotate, boost
403.845, 249.21, -3.83131, -0.103045, 279.75, 1, 1, 67, -2.48456, -135.394, 3.72557, -2.2878, -98.6983, 57, -79.8445, -111.21, -64.0727, 100, 0, 0
399.816, 249.073, -3.90757, -0.132797, 279.75, 1, 1, 67, -127.834, -32.2991, 5.22808, 1.49595, -23.9295, 24, -75.8161, -111.073, -65.433, 100, 0, 0
395.711, 248.907, -3.98152, -0.161656, 279.75, 1, 1, 67, -122.234, -30.6724, 5.43209, 1.57796, -23.8361, 24, -71.7115, -110.907, -66.8632, 100, 1, 0
391.31, 249.87, -4.05327, -0.18965, 282.005, 1, 1, 67, -116.207, -30.123, 5.63001, 1.65751, -26.5369, 24, -67.3101, -111.87, -70.9702, 100, 1, 0
386.79, 250.8, -4.12142, -0.224323, 284.281, 1, 1, 67, -109.935, -29.4876, 5.82053, 1.74219, -29.296, 24, -62.7902, -112.8, -75.1786, 100, 1, 0
382.155, 251.686, -4.18578, -0.26546, 286.578, 1, 1, 67, -103.426, -28.7585, 6.0036, 1.83184, -32.1174, 24, -58.1549, -113.686, -79.4867, 100, 1, 0
377.408, 252.518, -4.24614, -0.312867, 288.895, 1, 1, 67, -96.6862, -27.928, 6.1791, 1.9263, -35.0066, 24, -53.4079, -114.518, -83.8922, 100, 1, 0
372.553, 253.289, -4.30232, -0.366296, 291.231, 1, 1, 67, -89.7235, -26.9885, 6.34697, 2.02537, -37.9716, 24, -48.5531, -115.289, -88.3925, 100, 1, 0
367.595, 253.989, -4.35406, -0.425568, 293.584, 1, 1, 67, -82.5456, -25.9327, 6.50705, 2.12892, -41.0243, 24, -43.5948, -115.989, -92.9848, 100, 1, 0
362.538, 254.61, -4.40122, -0.490417, 295.953, 1, 1, 67, -75.1606, -24.7534, 6.65931, 2.23671, -44.1819, 24, -38.5377, -116.61, -97.6654, 100, 1, 0
364.617, 257.203, 2.02847, 1.57091, 297.747, 1, 1, 66, -81.8916, -27.8364, -6.14053, -1.91445, -46.5205, 23, -40.6172, -119.203, -98.9308, 100, 1, 0
366.04, 259.468, 1.79593, 1.43343, 299.457, 1, 1, 66, -87.2514, -30.3471, -5.61494, -1.67263, -48.6356, 23, -42.0398, -121.468, -100.367, 100, 1, 0
367.231, 261.54, 1.57314, 1.29502, 301.088, 1, 1, 66, -92.087, -32.5616, -5.10791, -1.433, -50.5609, 23, -43.2314, -123.54, -101.801, 100, 1, 0
368.204, 263.422, 1.35982, 1.156, 302.64, 1, 1, 66, -96.4198, -34.4844, -4.61886, -1.19579, -52.3191, 23, -44.2043, -125.422, -103.225, 100, 1, 0
368.971, 265.115, 1.15568, 1.01668, 304.116, 1, 1, 66, -100.748, -35.2325, -4.15065, -0.963105, -53.3908, 23, -44.9705, -127.115, -104.633, 100, 1, 0
369.541, 266.622, 0.960389, 0.877359, 305.518, 1, 1, 66, -104.135, -36.5952, -3.69275, -0.737106, -54.8803, 23, -45.5414, -128.622, -106.02, 100, 1, 0
369.928, 267.946, 0.77368, 0.738344, 306.849, 1, 1, 66, -107.076, -37.6875, -3.25131, -0.51401, -56.2391, 23, -45.9276, -129.946, -107.383, 100, 1, 0
370.139, 269.089, 0.595237, 0.599857, 308.11, 1, 1, 66, -109.587, -38.5146, -2.82578, -0.293966, -57.4741, 23, -46.1394, -131.089, -108.719, 100, 1, 0
370.186, 270.053, 0.424722, 0.462121, 309.304, 1, 1, 66, -111.687, -39.082, -2.4156, -0.0771182, -58.5904, 23, -46.1863, -132.053, -110.027, 100, 1, 0
370.077, 270.842, 0.261868, 0.32535, 310.433, 1, 1, 66, -113.39, -39.3952, -2.02026, 0.136391, -59.592, 23, -46.0772, -132.842, -111.304, 100, 1, 0
369.82, 271.46, 0.106357, 0.189751, 311.501, 1, 1, 66, -114.714, -39.46, -1.63924, 0.346426, -60.4831, 23, -45.8205, -133.46, -112.552, 100, 1, 0
369.419, 271.914, -0.0421205, 0.0554968, 312.522, 1, 1, 66, -115.667, -39.2874, -1.27203, 0.552883, -61.2826, 23, -45.4191, -133.914, -113.787, 100, 1, 0
368.85, 272.241, -0.183864, -0.0772755, 313.584, 1, 1, 66, -116.234, -38.9146, -0.918119, 0.755692, -62.094, 23, -44.8501, -134.241, -115.109, 100, 1, 0
368.114, 272.446, -0.318899, -0.208699, 314.702, 1, 1, 66, -116.422, -38.35, -0.577283, 0.955051, -62.9338, 23, -44.1136, -134.446, -116.536, 100, 1, 0
367.216, 272.529, -0.447218, -0.338904, 315.875, 1, 1, 66, -116.242, -37.5956, -0.249335, 1.15115, -63.7977, 23, -43.2159, -134.529, -118.066, 100, 1, 0
366.163, 272.489, -0.568876, -0.467985, 317.103, 1, 1, 66, -115.708, -36.6525, 0.0659621, 1.34416, -64.6795, 23, -42.1632, -134.489, -119.696, 100, 1, 0
